Place,Date,Designation,Review
"Guadalajara, JAL",2013-05-04,Gerente de Aduanas y Logistica,"Supervisar que las actividades diarias en las siguientes áreas se estén llevando acabo de acuerdo a lo establecido:- embarques urgentes llegando de acuerdo a lo programado y sino hacer los cambios necesarios para su llegada a tiempo- asegurar que los embarques de alto valor sean trasladados con su respectiva estrategia de seguridad coordinada directamente por mi con los distintas dependencias de seguridad federales y estatales asi como la seguridad privada contratada por la empresa -asegurar que el almacen surta las líneas de producción en tiempo y forma para evitar cualquier paro de línea-Estar actualizado junto con mi equipo de trabajo de todo cambio en leyes de comercio exterior , ley aduanera y fiscales que puedan afectar la importación y exportación de mercancías- aplicar todo beneficio que otorga el gobierno Mexicano en importaciones y exportaciones y sus repercusiones fiscalesEn esta empresa aprendí las bases de la administración china de una empresa , dirigido en forma excelente por nuestro gerente de planta de origen taiwanes, junto con mis colegas formamos un equipo de trabajo robusto y capaz de lograr todos los ojetivos trazados por la empresa y la superación de los mismos.La parte mas difícil del trabajo la coordinación de la seguridad en los embarques de alto valor por lo delicado de este tipo de asuntos en los que se debe trabajar en forma conjunta y sin ningún error en la estrategia para el resguardo de las mercancías debido al alto índice de criminalidad que vive el paísMe gusto sobre todo aprender la administración china de una  more... empresa , su extrema optimización de recursos, la amplia visión para resolver problemas y su continuo mejoramiento en todos sus procesos, también me gusto que dentro de esta empresa desarrolle todas mis capacidades , en comercio exterior, administración de almacenes, y obtener las especialización en Seguridad tanto intramuros como seguridad en la logística, siendo miembro del comité de seguridad de la industria electrónica del estado.  less"
"Jundiaí, SP",2013-05-02,Assistente de Qualidade,"Empresa com bons benefícios ao trabalhador, e fornece um bom suporte aos mesmos.Dificuldade em relacionamento com a gerencia da empresa.No geral, um bom ambiente de trabalho."
"San Jose, CA",2013-05-02,Project Manager- Apple,1. Be the bridge between US customer and China factory side2. Self-motivated 3. Flexible time
"台北市, TPE",2013-05-02,Project Manager-Cisco Project,1. OEM company2. Self-motivated required3. High pressure job4. Good salary
JPC,2013-05-02,Project Manager- Sony PSP project,1. Be the bridge between Japanese customer and Headquarter manager in Taipei2. Flexible time but require highly responsibility
"Jundiaí, SP",2013-04-30,Operadora de Qualidade,"O serviço exige muita atenção, pois o serviço era minucioso. Os superiores estavam sempre disponíveis. A parte mais difícil por ser da área de qualidade, era quando aparecia algum problema nas placas que as vezes a produção descordava, a parte boa era quando não apresentava problemas de produção, assim o dia fluía bem melhor."
"Plainfield, IN",2013-04-29,Production Planning Analyst,Not great working conditions.  Foreign based company and the hardest part of the job was adjusting to the conditions.  I learned that I wanted to find a better job and be apart of a company with more morale.
"Houston, TX",2013-04-26,Business Planning Manager - Contractor,"■ Managed and coordinate the planning program to meet the needs of HP and specific business requirements.■ Managed and worked with Material Planning team to control server MB after sales (EOML) Inventory control.■ Managed for Internal product developing strategies cycle involvement/ project management and cross- functional team communication.■ Worked with Foxconn Legal team to finalize the HP ISS Service Level Agreement.■ Managed HP’s server service level NPI coordination.I learned how to work under high pressure, effective communication and interpersonal skills, CRM, manage time and multitask, and coordinate efficiently between multi-national regions for task achievements."
Indianapolis,2013-04-25,Assistant Manager,This company had a lot of employment opportunities however there was very little room to grow within the company.
"Jundiaí, SP",2013-04-22,Operador de Produção,"Manipulava placas de iphone em area de SMT, ótimo convívio com colegas de trabalho, gerencia flexivel e acessivel. Parte mais difícil foi aprender a lidar com componentes muito pequenos, muito agradável lidar com equipamentos tecnologicos."
"Indaiatuba, SP",2013-04-20,OPERADORA DE PRODUÇÃO,"Como operadora de produção minha função era dar andamento na linha de produção com qualidade na montagem , realizava tambem serviços de inspeção nos aparelhos , para garantir aqualidade para os clientes . Como sou muito ágil sempre permamecia em ponta de linah dando assim rítimo ao decorrer da linha de montagem conseguindo atingir o tempo de montagem dos apralhos ."
"Jundiaí, SP",2013-04-20,Advogada Trabalhista,"empresa excelente de trabalhar,muito boa e otima empresa, muita coisa boa, muita exeruencia profissional, muito bom"
"Jundiaí, SP",2013-04-17,operadora de produção 2,"uma otima experiencia aprendi todos os posto que tinha na sessao onde trabalhava, o horario era muito puxado nos finais de semana mais era um bom abiente de trabalho, sendo que os colegas de trabalho eram muito competitivos"
"Chihuahua, CHH",2013-04-13,inspector y monitor de procesos,"una empresa en la cual era tipico el buen ambiente de trabajo, ademas de dar oportunidades por parte de la empresa"
"Jundiaí, SP",2013-04-13,operado 1,"Operar maquinhas de grandes portes, trabalho dinâmico fabricação de tablet."
"Kutná Hora, Czech Republic",2013-04-11,Cluster Test Technician,"A typical day at work usually starts at 6am/6pm with the situation pass-down, this includes progress made, status and issues encountered on the shop floor after which, you have a 12 hours shift, with three timeouts for lunch and recreation, to enjoy the job. The environment is very friendly and professional and the management is deeply involved. Hardest part of the day is dealing with difficult people and language barrier. At the end of the shift, you pass-down the situation to your co-workers and head for the exit."
"Jundiaí, SP",2013-04-10,operadora de produção,"na foxconn a rotina era da 6:00 á 14:40 o trabalho era muito gostoso de ser realizado aprendi todo processo de fabricação de notebook e ate mesmo montagem de notebook,a parte de gerência não tenho que reclamar, fiz bastante amizades, a unica coisa que não gostei é que empresa não dava muitas oportunidades de crescimento gostava da minha atividade, e era muito agradável."
"Jundiaí, SP",2013-04-09,Operadora de Qualidade/Reparadora/Líder de linha,"Ambiente de trabalho agradável, várias oportunidades de crescimento, uma empresa organizada e de serviço limpo, com uniformes e EPIS adequados para o uso do funcionário."
"Jundiaí, SP",2013-04-07,Operadora de Qualidade,otima empresa para trabalhar não tive nenhum problema referente a empresa quando sai foi por problemas pessoais.
"Houston, Texas",2013-04-06,Industrial Engineer,Learn new knowledge. Solve multiple new problem everyday. Extremely busy.
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"San Diego, CA",2013-04-05,Sr. Mechanical Design Engineer,Dealing with lots of innovative ideas for latest hand-on devices everyday. Co-work with talent people. Get great experience in this company!
"Houston, TX",2013-04-05,none,"I worked with computer accessories packing different products and shipping them.Getting the travelers to find the packing what i was going to use for that product, I learned the different types of computer my very helpful when you need help the hardest part of the job was the not knowing what time i get out. cleaning up ,going home."
"Jundiaí, SP",2013-04-02,operador de produçao,"nao dao nenhum valor nos funcionarios,o salario é muito bom,os lideres nao sao competentes no que fazem,isso preocupa muito!!a alimentaçao é horrivel ...."
"Manaus, AM",2013-04-02,TECNICO DE MANUTENCAO II,Empresa que valoriza todos os seu colaboradores e respeita o seu consumidor
"Indaiatuba, SP",2013-04-01,Auxiliar de Almoxarifado,"Uma grande empresa multinacional, equipe sempre visando o trabalho em grupo. Aprendi muito sobre a areá de logística."
"Jundiá, AL",2013-04-01,Engenharia de Processo,"Durante minha carreira desenvolvi algumas habilidades e competências, como trabalho em equipe, qualidade no serviço prestado, apto às mudanças, iniciativa para tomada de decisões, organização e planejamento profissional, melhoria contínua, 5S, ferramentas da qualidade e lean manufacturing."
"Indaiatuba, SP",2013-03-28,Operadora de reparos e Operadora de Produção,"Uma empresa de grande porte e com muitos funcionário, mas seu unico problema, são as variacões de chefes"
"Jundiaí, SP",2013-03-27,Operador de Maquina,E uma empresa otima para trabalhar oferece ótimas ferramentas de trabalho mas nao da oportunidade de trabalhar
"Jundiaí, SP",2013-03-26,operador de produção 1,a empresa nos proporciona muitos beneficios da muitas oportunidades de crescimento.eu so sai de lá por motivo particular se pudesse estaria lá ainda só tenho que agradecer pelo tempo que fiquei lá.
"Jundiaí, SP",2013-03-26,ajudante produção,"trabalho corrido,mas também com muita responsabilida, a trabalhar tanto em equipe com individual.a ser agil,muitos bons,harmonia entre os colegas de trabalho respeito , a parte dificil de um trabalho é quando não tem material pra trabalhar e a parte mais agradavél é a convivencia com todos e as expectaviva de disas melhores."
"Jundiaí, SP",2013-03-26,abastecedora de materiais,Formação de kitInventarioSeparação de materialMuitos amigoA parte q mais gostei foi trabalhar no recebimento na ares administrativa.
"Jundiaí, SP",2013-03-25,"Reparo Rework PTH, SMD, Nivel 1 e 2","Trabalhando em desenvolver novas taticas de reparo, aprendi que a curiosidade e a vontade vai muito alem do que por em pratica e fazer, tendo boas comunicações com a direção e gerência nos tornando em bons colegas de trabalho, a parte mais difícil do trabalho e quando não acreditam que você é capaz e você o torna a parte mais agradavel mostrando que vai muito além doque o esperado."
"Jundiaí, SP",2013-03-25,"Reparo Rework PTH, SMD, Nivel 1 e 2","Liberdade de desenvolver as funções designadas com qualidade,Absolvi experiência de pessoas profissionais aprendendo c/ elas, palestras de tempo em tempo, reciclagem a cada novidade a direção e gerência sempre a par de tudo...que nos envolve trabalhando em equipe com colegas de trabalho para um ótimo resultado, buscando sempre o melhor, mesmo quando a momentos de dificuldade superando-o e tornando-o em em uma parte mais agradavel possível no ambiente de trabalho como concluir algo que ja não se espera, e fazer disso um bom resultado."
横浜市港北区新横浜,2013-03-25,Sales Director Japan,・売上管理・自身のAccount売上・Sales Projectの推進・中国生産工場とのCommunicationの難しさ・最新の技術製品に携われることの楽しさ
"Indaiatuba, SP",2013-03-25,operadora de produção,"Como minha primeira experiência em produção, gostei muito e pretendo trabalhar nesta área mais vezes por me achar capaz, e quantos aos colegas de trabalho alguns bastante prestativo.Ficar em pé muito tempo era a parte mais difícil, a mais agradável era que estava produzindo."
